generated_at,cio_stance,macro_regime,market_leadership,market_transition,market_breadth,priority_watch_candidates,deploy_candidates,monitor_candidates,reject_candidates
2026-05-15 11:46:52,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 12:59:05,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 13:05:45,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 14:06:28,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 14:34:31,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 14:41:07,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 15:07:26,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 15:53:05,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 16:04:53,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 16:12:38,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 16:19:45,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 16:26:16,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 16:34:00,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 16:40:14,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 17:06:30,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 17:34:09,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 17:48:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 17:58:24,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 18:04:42,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 18:15:21,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 18:19:25,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 18:25:03,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 18:32:19,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 22:57:51,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 23:15:08,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 03:36:51,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 09:21:58,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 10:36:16,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 11:09:33,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 12:06:28,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 12:22:04,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 13:32:54,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 13:33:23,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 13:43:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 13:53:58,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 13:54:57,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 13:59:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:07:19,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:12:16,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:16:35,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:24:33,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:29:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:32:57,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:38:14,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:42:16,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:51:26,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:55:53,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 14:59:29,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:01:56,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:04:05,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:08:06,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:25:15,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:27:50,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:29:58,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:32:28,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:35:06,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:37:20,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:42:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:46:04,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:47:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:50:33,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:53:55,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 15:57:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:28:25,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:31:05,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:34:28,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:39:38,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:45:45,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:50:59,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:55:03,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 16:57:49,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:00:02,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:04:20,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:06:15,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:08:30,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:10:59,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:12:57,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:14:34,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:16:32,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:19:35,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:22:29,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 17:30:57,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 18:02:19,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 18:12:30,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 18:30:33,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 18:42:13,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 18:50:28,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 18:52:27,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 18:54:21,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 21:43:42,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-16 21:44:43,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 03:30:21,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 15:30:22,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 15:36:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 15:52:29,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 15:57:27,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 16:00:56,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 16:08:34,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 16:20:17,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 16:24:21,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 16:52:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 18:27:03,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 19:05:29,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 19:18:08,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 19:29:07,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-17 19:42:30,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 03:30:24,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 14:39:32,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 15:13:31,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 15:30:04,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 15:43:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 17:27:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 18:01:31,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 18:20:44,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 18:24:51,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 18:31:38,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 18:38:37,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-18 22:58:45,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-19 03:30:31,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-19 17:26:31,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-19 18:25:39,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-20 03:31:37,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-20 15:16:04,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-21 03:30:36,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 03:30:33,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 09:04:35,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 12:57:54,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 12:59:06,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 13:09:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 13:14:27,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 13:17:15,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 13:32:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 14:21:16,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-22 14:22:08,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-23 03:30:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-23 08:02:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-23 09:50:30,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-23 10:01:07,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-23 10:05:33,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-23 10:08:17,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-23 16:39:25,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-24 03:30:30,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-24 16:40:42,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-25 03:30:31,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 03:30:29,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 10:48:09,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 10:50:07,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:01:22,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:02:25,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:08:06,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:10:26,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:12:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:14:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:16:10,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:18:56,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:21:55,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:22:39,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 11:23:10,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 12:59:07,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-26 19:21:23,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-27 03:30:31,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-28 03:30:30,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-29 03:30:33,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-30 03:30:34,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-31 03:30:35,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-01 03:30:37,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-02 03:30:38,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-03 03:30:41,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-04 03:30:43,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-05 03:30:41,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-06 03:30:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-07 03:30:44,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-08 03:30:43,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-09 03:30:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-10 16:34:29,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-11 03:30:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-12 03:30:43,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-13 03:30:43,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-14 03:30:45,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-15 03:30:42,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-16 03:30:45,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-17 03:30:44,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-18 03:30:44,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-19 03:30:45,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-20 03:30:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-06-20 18:15:24,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-20 18:15:55,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-20 18:17:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-21 03:30:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-22 03:30:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-23 03:30:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-24 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-25 03:30:46,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-26 03:30:49,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-27 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-28 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-29 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-06-30 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-01 03:30:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-02 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-03 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-04 03:30:47,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-05 03:30:50,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-06 03:30:48,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-07 03:30:51,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-08 03:30:51,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-09 03:30:49,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-10 03:30:49,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-11 03:30:49,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
2026-07-12 03:30:50,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,,,2,
